query,answer
"Требования к членам коллективного участника, осуществляющим поставку товаров, выполнение работ, оказание услуг, требуют соответствующей специальной правоспособности, согласно распределению номенклатуры и объемов поставки товаров, выполнения работ, оказания услуг, указанному в соглашении.","Требования, установленные в соответствии с подп. 10.4(2) Положения, предъявляются к членам коллективного участника, осуществляющим поставку товаров, выполнение работ, оказание услуг, требующих соответствующей специальной правоспособности, согласно распределению номенклатуры и объемов поставки товаров, выполнения работ, оказания услуг между членами коллективного участника, указанному в соглашении."
"Требования, установленные согласно подп. 10.4(1) Положения, предъявляются каждому члену коллективного участника отдельно. Требования к каждому участнику отдельно устанавливаются отдельно.","Требования, установленные согласно подп. 10.4(1) Положения, предъявляются к каждому члену коллективного участника отдельно."
"Требования, установленные в соответствии с подп. 10.4, предъявляются к членам коллективного участника, осуществляющим поставку товаров, выполнение работ, оказание услуг, требующих наличие исключительных прав на объекты интеллектуальной собственности.","Требования, установленные в соответствии с подп. 10.4(2) Положения, предъявляются к членам коллективного участника, осуществляющим поставку товаров, выполнение работ, оказание услуг, требующих наличие исключительных прав на объекты интеллектуальной собственности."
"Члены коллективного участника закупки в совокупности по требованиям, установленным в соответствии с подп. 10.4(1) – 10.4(5) Положения суммируются. При рассмотрении заявки на предмет соответствия данным требованиям показатели суммируются, а показатели, заявленные всеми членами группы, суммируются и суммируется.","Требования, установленные в соответствии с подп. 10.4(1) – 10.4(5) Положения, предъявляются к членам коллективного участника закупки в совокупности; при рассмотрении заявки коллективного участника на предмет соответствия данным требованиям показатели, заявленные всеми членами коллективного участника по требованиям, установленным в соответствии с подп. 10.4(1) – 10.4(5) Положения, суммируются."
"Требования к членам коллективного участника, осуществляющим поставку товаров, выполнение работ, оказание услуг, требуют наличия действующей системы менеджмента качества, согласно договору с третьим лицом наличия системы управления, обеспечения и контроля качества. Требования, установленные в соответствии с подп. 10.4(5) Положения, предъявляются к участникам поставки товаров, выполнения работ, оказания услуг, согласно распределению номенклатуры и объемов поставки.","Требования, установленные в соответствии с подп. 10.4(5) Положения, предъявляются к членам коллективного участника, осуществляющим поставку товаров, выполнение работ, оказание услуг, требующих согласно договору с третьим лицом наличия действующей системы менеджмента качества (управления, обеспечения и контроля качества), согласно распределению номенклатуры и объемов поставки товаров, выполнения работ, оказания услуг между членами коллективного участника, указанному в соглашении."
"Порядок подтверждения коллективным участником своего соответствия установленным в настоящем подразделе требованиям определяется извещением, документацией о закупке и извещением о поставке. Документация о закупках определяется документацией и документацией, документацией об закупке с учетом положений п. 10.4.6 и п. 104.7 Положения.","Порядок подтверждения коллективным участником своего соответствия установленным в настоящем подразделе требованиям, определяется извещением, документацией о закупке с учетом положений п. 10.4.6 и п. 10.4.7 Положения."
Член коллективного участника не вправе подавать заявку на участие в закупке или входить в состав других коллективных участников.,Член коллективного участника не вправе подавать самостоятельную заявку на участие в закупке или входить в состав других коллективных участников.
"Участники закупки и участники закупки, выступающие на стороне одного участника закупки, представляют заявку в составе заявки. Копия соглашения между лицами, выступающими на стороне покупателя, представляется в состав заявки.","Копия соглашения между лицами, выступающими на стороне одного участника закупки, представляется в составе заявки."
Требования к описанию продукции и требования к Требования к требованию к требованиям требования к качеству продукции.,Требования к описанию продукции
"Участники процедуры закупки устанавливают требования к описанию продукции в целях обеспечения возможности выявления однозначного соответствия или несоответствия предлагаемой продукции потребностям заказчика. Эксперты считают, что такие требования устанавливаются для обеспечения достоверного соответствия продукции требованиям заказчика.",Требования к описанию продукции участниками процедуры закупки устанавливаются в целях обеспечения возможности выявления однозначного соответствия или несоответствия предлагаемой продукции потребностям заказчика.
